source,aoa_deg,lift_max_N,lift_min_N,lift_avg_N,drag_max_N,drag_min_N,drag_avg_N
Group 2 (NACA 0012 wind tunnel),-1.0,-0.24,-0.31,-0.275,1.3,1.32,1.31
Group 2 (NACA 0012 wind tunnel),0.0,0.48,0.5,0.49,1.32,1.35,1.335
Group 2 (NACA 0012 wind tunnel),1.0,2.16,2.2,2.18,1.37,1.41,1.3900000000000001
Group 2 (NACA 0012 wind tunnel),2.0,3.9,3.95,3.925,1.43,1.46,1.4449999999999998
Group 2 (NACA 0012 wind tunnel),3.0,5.07,5.12,5.095000000000001,1.63,1.64,1.6349999999999998
Group 2 (NACA 0012 wind tunnel),4.0,5.3,5.22,5.26,1.36,1.33,1.3450000000000002
Group 2 (NACA 0012 wind tunnel),5.0,8.87,8.69,8.78,1.7,1.65,1.6749999999999998
Group 2 (NACA 0012 wind tunnel),6.0,10.59,10.44,10.515,1.91,1.87,1.8900000000000001
Group 2 (NACA 0012 wind tunnel),7.0,12.02,11.76,11.89,2.12,2.06,2.09
Group 2 (NACA 0012 wind tunnel),8.0,13.4,13.17,13.285,2.23,2.19,2.21
Group 2 (NACA 0012 wind tunnel),9.0,15.19,14.91,15.05,2.5,2.45,2.475
Group 2 (NACA 0012 wind tunnel),10.0,,,,,,
Group 2 (NACA 0012 wind tunnel),11.0,,,,,,
Group 2 (NACA 0012 wind tunnel),12.0,,,,,,
Group 2 (NACA 0012 wind tunnel),13.0,,,,,,
Group 2 (NACA 0012 wind tunnel),14.0,,,,,,
Group 2 (NACA 0012 wind tunnel),15.0,,,,,,
